record_id,total_inflow_btc,total_outflow_btc,avg_tx_value,tx_count_in,tx_count_out,active_duration_days,in_out_ratio,temporal_entropy,address_count,entity_label
28,2571.177,1412.3693,3.364324,13592,13931,3091,0.1938,0.8521,14606,7
29,2962.0769,2126.1467,13.399937,7392,1111,1888,0.1361,0.5064,11685,6
30,232.2616,187.8651,45.610421,11365,16963,4560,7.6211,0.4902,4259,3
31,3037.7282,639.3427,31.65897,10372,16446,974,7.6383,0.3618,9147,9
32,852.6289,3827.7361,36.052761,2505,387,66,7.9109,0.9942,4120,4
33,325.2673,0.0682,12.857692,5240,18585,2907,9.3073,0.1112,6641,6
34,4744.4282,2082.835,35.969436,16677,12907,571,1.2673,0.5902,4289,5
35,4828.1605,2612.5557,1.406173,18119,1684,3893,2.3967,0.6817,878,2
36,4041.9887,273.1816,18.76613,5121,15034,308,9.0469,0.9343,4486,9
37,1523.0758,4865.3911,31.337705,6394,15709,3409,1.8546,0.7802,2545,2
38,488.3696,1130.6344,7.304914,2197,6322,3743,6.8541,0.6438,5060,1
39,3421.1683,1521.0006,41.150196,3467,8679,783,5.3516,0.1168,10369,2
40,2200.7681,1519.7195,11.751641,1907,11925,4217,0.9236,0.3737,7165,9
41,610.2,1152.091,32.61409,18106,13566,766,2.9241,0.1388,2601,0
42,2475.8896,7.3791,20.259917,11884,8733,3476,5.2517,0.8812,11300,8
43,171.9523,3646.7267,29.80222,15438,5632,773,8.5383,0.7496,3529,1
44,4546.6029,4834.2278,5.372617,14498,10253,3858,7.1046,0.7575,2409,2
45,1293.9073,1121.4752,0.845738,1817,12439,3186,6.2566,0.6523,4861,4
46,3312.6148,3315.2393,45.47823,10714,5170,540,5.0107,0.507,10166,9
47,1558.5623,3709.4842,13.481573,3850,6788,2050,3.057,0.15,3949,3
48,2600.3449,4242.1284,40.983868,6850,5233,3284,1.2805,0.3297,9431,4
49,2733.5559,2113.1518,49.967515,1059,4289,4676,4.1499,0.1369,2335,5
50,924.2804,1514.6615,10.571642,11731,6735,1664,0.3823,0.7249,768,4
51,4847.9234,1626.4824,13.258611,18707,17465,1048,2.1895,0.1602,10609,9
52,3875.6664,3563.1095,33.143023,17333,6241,3837,4.3816,0.7021,13781,0
53,4697.4953,4083.8992,48.272435,4360,16582,3440,4.2442,0.6923,13187,5
54,4474.1378,908.078,45.790726,12810,7815,506,0.5385,0.4593,11738,8
55,2989.5039,1854.7113,25.143826,5661,10387,3248,5.9317,0.1352,13373,2
56,4609.372,4509.702,39.755535,7255,7852,3501,5.5419,0.3148,10502,1
57,442.4716,4033.4695,6.787379,12823,1601,1911,0.8732,0.3201,4884,5
58,979.9224,4924.2922,48.871911,2094,6867,733,9.4373,0.7004,4207,2
59,226.146,3771.2438,48.217665,11731,3693,3514,1.0839,0.1137,5949,3
60,1626.6584,1965.9821,8.186532,17948,19468,1572,8.5629,0.8291,7086,5
61,1943.3926,2953.1933,14.971226,8218,333,4610,0.1031,0.761,12429,5
62,1356.7524,3305.0747,5.00784,16559,13710,2943,8.8346,0.1863,745,1
63,4143.6893,392.2883,13.585953,17719,14110,4457,0.2952,0.7192,10775,2
64,1783.7731,2722.4894,40.797808,16706,14848,2322,7.6023,0.6685,4175,8
65,1404.6797,3546.607,18.915843,12343,14508,3336,3.6807,0.7481,9710,1
66,2713.485,836.6148,4.41994,12240,9964,4623,7.4083,0.1889,7199,2
67,704.6297,3903.1608,17.111342,13855,6107,4375,4.0773,0.1576,2557,8
68,4010.9869,2918.8681,49.069169,13898,7334,2754,0.802,0.2365,5067,3
69,372.7625,4761.1094,31.484217,11420,16059,1373,7.6983,0.3659,7798,0
70,4934.4348,212.1211,20.808106,10065,6656,1445,0.8054,0.7937,4162,1
71,3861.2261,1326.638,8.327009,15004,5309,3377,9.229,0.7379,13822,2
72,993.5864,3007.7734,49.308841,10260,19106,290,0.6046,0.9255,12176,8
73,27.6205,1482.8066,41.042468,5675,1065,2066,4.8453,0.0586,9587,8
74,4077.309,3572.1237,14.073937,5003,9081,64,7.258,0.0116,287,5
75,3534.2897,3795.0288,3.503528,911,11116,3946,3.9931,0.6991,3248,5
76,3645.0386,512.5888,2.831372,950,6821,330,2.2506,0.2793,12411,2
77,3856.354,2569.2772,6.018995,18899,8513,4859,7.615,0.3341,10795,4
78,370.2325,2544.4577,29.038471,11524,3958,1964,7.8645,0.5468,5100,3
79,1792.3351,1846.4102,46.438178,11222,18767,3089,9.2347,0.1024,4,9
80,579.3541,4664.625,24.837222,16485,19616,2491,3.824,0.6427,5936,9
81,4315.5185,4137.5333,42.14729,4647,7009,141,5.1119,0.3251,412,8
82,3116.4944,3486.0499,22.294386,6946,16045,4540,3.695,0.6327,4346,8
83,1654.4968,3571.636,35.429206,2401,17885,2474,2.6451,0.834,3728,0
84,317.8011,2308.5861,36.593664,11564,14688,3904,7.5352,0.1711,13799,7
85,1554.9185,4604.9734,8.698268,18728,17953,450,3.4626,0.9309,10110,8
86,1625.9234,3472.9802,18.060867,353,19666,1826,4.3387,0.5307,1357,4
87,3648.0336,3644.908,31.865144,19340,9712,4447,4.0964,0.9229,14789,3
88,3187.791,4308.4559,3.534923,15490,18250,4695,7.1553,0.2077,8350,9
89,4436.0648,1370.3652,18.077073,1019,9598,4807,9.1862,0.6046,1601,3
90,2361.0799,4035.3564,26.74002,17564,15255,870,6.7009,0.4039,11077,1
91,597.98,976.2111,49.811225,5194,16389,3565,4.7687,0.7742,7158,8
92,3566.2268,1726.7163,23.726731,15702,14370,3660,7.8141,0.6059,5707,4
93,3803.9276,1678.0589,40.802856,3537,7960,3603,6.4456,0.4945,11682,2
94,2806.3904,4892.6276,21.603421,15450,17553,393,0.7,0.913,5560,5
95,3854.8382,4282.6876,39.819556,11843,18783,842,1.0471,0.3771,7197,8
96,2468.983,3505.8523,29.770781,18887,19015,2449,0.4754,0.22,5074,8
97,2613.6689,3635.2865,44.329783,3820,6609,2792,4.6225,0.6081,2383,4
98,2137.7108,2810.3684,20.547187,17364,348,2954,8.2759,0.624,13550,7
99,127.1054,4735.4539,30.215261,977,12413,1359,3.1995,0.4391,153,3
100,539.4661,2481.2988,31.500971,18665,10006,991,3.9032,0.4866,9822,4
101,157.1556,1902.5947,20.869205,5898,19727,1039,9.1038,0.9596,2797,6
102,3182.0557,815.1851,7.215688,15958,6501,28,8.3853,0.7327,11074,6
103,1571.7868,3931.0304,4.678061,15360,2575,388,6.684,0.1106,7283,6
104,2542.8584,3672.2223,0.833676,13241,5273,833,2.7414,0.2121,6952,7
105,4537.8333,1921.7813,43.676726,108,16533,250,1.2587,0.9756,11995,4
106,1246.4687,125.9768,11.823822,15525,8695,2028,0.259,0.7265,2806,0
107,2051.9205,4194.9882,10.575416,1627,17254,1529,1.1594,0.915,4081,8
108,3777.7581,57.0998,36.801796,6230,3522,4194,2.9967,0.3039,11663,8
109,1143.9985,3518.5019,16.000874,6878,1301,1839,5.5627,0.7419,9248,6
110,384.9088,4851.2858,25.302284,875,12226,1361,0.7336,0.714,10772,5
111,1448.7644,2188.3123,8.125637,5544,11482,3110,1.4487,0.2947,12341,4
112,806.1148,1174.8747,47.98729,3810,12046,1324,1.8927,0.5508,10958,4
113,4648.489,3524.358,42.579085,10604,18836,2227,6.3566,0.6274,5851,2
114,4040.6038,4085.6425,43.189495,2108,4386,3681,6.1963,0.4811,7363,9
115,3167.0224,2732.1561,20.338747,11746,14756,892,5.5526,0.8272,1329,0
116,4357.3042,4835.1767,38.118084,9466,2825,1306,2.58,0.8329,12237,5
117,4018.3623,258.3531,7.193893,560,5965,4549,3.7741,0.8506,2393,7
118,932.8584,2523.9829,0.431049,8309,17371,4193,1.0572,0.8034,3154,1
119,4462.7961,3592.2726,0.998745,15251,19875,262,2.342,0.4881,8193,7
120,2696.7158,4313.2037,29.330128,13256,3768,2341,8.9873,0.3814,167,7
121,4037.2027,896.2863,22.7698,3047,13577,1794,9.7989,0.8314,14653,9
122,4480.4575,4000.0194,25.900816,13857,12269,2297,6.5118,0.4902,3255,7
123,1590.0242,2763.5399,0.373256,16428,18391,2293,9.1766,0.2464,5061,9
124,550.2685,1982.7744,21.134389,509,7926,2171,6.4631,0.5073,1886,2
125,1139.6835,658.5838,35.903436,6108,3108,325,0.4286,0.1418,4369,9
126,2135.5447,4326.4801,22.134741,13477,19715,986,9.9679,0.6916,13981,7
127,4090.0756,786.3745,36.610987,3440,8723,4783,1.0796,0.3359,14709,3
128,4303.6543,1548.9462,11.651025,13137,17308,3853,6.8582,0.2607,7530,2
129,34.7706,1450.2348,40.657119,14168,18281,1740,2.6031,0.9565,900,8
130,2553.7414,4357.0715,29.421603,17301,7884,1861,3.9806,0.7769,2249,7
131,2087.0608,3363.5182,10.538234,17183,19709,3138,6.4947,0.7871,11456,9
132,1110.5468,3983.409,11.8361,4972,13454,3899,4.4212,0.6237,3413,1
133,599.3356,1252.347,31.40156,18145,17198,836,2.5804,0.8392,11770,7
134,1688.0825,3124.3742,41.496997,19660,7619,4155,3.411,0.7592,10380,2
135,4714.5491,2858.7342,20.781448,15884,783,2779,3.4813,0.5988,6450,9
136,1616.0214,4164.1536,12.915096,819,14643,1397,9.5973,0.9611,9412,5
137,2593.9579,4530.4362,43.350594,10361,7790,1677,8.0063,0.1916,3133,4
138,3515.0978,60.7937,33.463448,11928,14003,4332,4.6396,0.9434,8156,7
139,1818.1544,3370.1029,22.40433,16024,19524,4314,2.0782,0.4014,8137,8
140,4858.9107,259.1885,24.395061,3066,11982,1838,8.1291,0.5284,360,6
141,4812.2369,2744.2978,10.212903,3260,5008,3722,1.6561,0.1227,6451,5
142,1258.919,1438.1708,31.340169,17291,7576,3673,2.1836,0.5401,10232,5
143,2486.2476,1533.8899,17.93719,12301,19575,3023,3.7235,0.6112,7648,0
144,1504.3985,1764.799,49.782259,603,16185,4685,8.8154,0.9977,14669,4
145,1424.2096,3106.466,24.009228,4296,11295,1672,1.4047,0.9752,12130,7
146,184.4444,1670.2565,24.294332,9984,5638,917,1.3101,0.9664,11347,5
147,3047.8256,3663.4979,28.292633,3528,12771,918,4.9904,0.3484,8526,0
148,2513.4001,2022.6429,45.837808,1812,14543,1134,2.8365,0.9913,14853,4
149,257.4032,341.7753,40.040925,12104,10909,1837,5.7304,0.4555,731,4
150,1393.2395,3918.8014,22.556558,9033,16963,2139,4.5712,0.8518,7068,2
151,4541.3303,1428.7988,35.934991,12878,12700,4008,4.4061,0.2163,9690,7
152,1197.8171,2163.8401,29.311816,7964,1866,1906,1.2085,0.5058,1418,8
153,724.4829,3427.2226,24.618403,15225,1377,3990,1.4964,0.966,7768,5
154,2447.2689,1662.2875,9.615869,8917,14256,3486,8.2287,0.947,7889,5
155,4928.2524,282.9377,23.196867,6767,13648,4798,8.8702,0.6837,3764,1
156,1210.2839,1869.6115,12.291005,17187,5409,2121,2.4234,0.7978,9936,9
157,3360.681,4722.2435,45.742116,18967,8164,2733,1.2233,0.1764,6929,1
158,3808.1005,3208.6756,16.770407,1666,6284,2770,0.6288,0.7217,5697,5
159,1188.1953,3357.399,47.613206,15933,1977,1322,6.1221,0.6181,13692,7
160,3641.0845,3161.4144,26.652811,6976,6444,3717,7.182,0.0916,12309,1
161,1838.922,994.9687,31.577256,2553,13325,3355,3.7908,0.1132,10166,8
162,3161.5328,2091.6751,27.147068,13220,7596,1529,6.8288,0.1084,879,8
163,3167.6522,3754.7015,6.469118,14275,4921,4744,7.1583,0.7244,12465,3
164,2678.8781,506.8735,18.791123,12613,18272,760,9.3599,0.1417,5483,3
165,451.4579,1389.2711,4.957396,2809,17376,3413,0.7422,0.4677,14358,3
166,4176.5141,1381.6028,31.14774,11091,5229,1358,2.0037,0.357,2885,4
167,1603.9071,2160.1003,22.343765,12261,11749,2191,0.7784,0.5505,11200,7
168,932.6007,4901.8439,38.899271,15296,15716,3482,8.6931,0.7065,10788,1
169,203.8853,337.5221,11.023602,14838,14485,949,7.9466,0.6847,2298,4
170,2954.4688,2593.5098,8.228386,14670,6451,2080,5.789,0.5155,8853,1
171,3387.825,896.8316,20.316671,10524,19989,1767,0.9283,0.4643,11337,7
172,82.949,4853.383,46.329277,12763,17468,28,2.8058,0.3978,11355,0
173,2560.4702,566.5264,35.52112,13770,21,2471,3.0474,0.8619,13488,6
174,1132.4866,2018.011,20.946239,13732,14718,2539,5.6514,0.3309,12414,2
175,3225.8675,3689.4275,25.863657,11878,14581,160,2.6546,0.2594,7372,3
176,871.8404,3522.7751,4.210742,2457,10118,2893,0.8223,0.7433,3986,7
177,3454.6918,2113.649,49.228796,5424,9665,4114,7.3345,0.3598,1270,2
178,1933.6829,1732.6274,33.320399,14247,1100,3723,3.0609,0.847,12899,6
179,4683.6506,1988.0679,14.270275,12847,2638,3732,4.5785,0.3279,1295,0
180,687.6133,1321.3887,29.290461,4318,8582,2472,1.3639,0.7019,1010,8
181,1705.3383,1026.6726,5.474207,17941,7745,4851,8.0452,0.0451,10284,5
182,567.3765,2415.2037,48.291837,18590,19798,1571,5.6988,0.3856,1758,2
183,4623.4688,1342.6761,8.739332,12636,7458,837,9.0257,0.3432,10157,6
184,4386.698,1437.3154,32.401551,13471,10808,4990,5.0052,0.8167,7777,4
185,1289.7156,3283.7837,12.272799,13177,17739,3939,9.4201,0.9671,12836,7
186,3299.9236,4842.687,35.878097,9114,6403,2287,8.9295,0.4609,9384,7
187,4086.1128,3018.19,38.841091,13547,4522,3406,5.807,0.8248,6579,8
188,2776.0085,384.9066,33.671019,6806,16390,2671,9.3455,0.6997,8181,5
189,2648.2576,377.9273,30.725012,16789,8383,4113,3.2986,0.9674,9246,3
190,1209.269,4757.1166,44.623465,18005,12693,4748,3.7199,0.8111,2842,1
191,465.5229,1486.461,3.931428,19337,4354,4356,0.5502,0.0775,5717,2
192,4486.0798,460.344,16.545805,8081,15066,1628,5.9331,0.7133,2405,4
193,4502.0913,2995.2269,12.414449,3119,19935,1867,7.247,0.5355,3563,7
194,3165.511,3118.2477,49.400699,6631,14426,205,7.7578,0.0164,11897,9
195,1695.1556,3242.5276,19.46955,566,13112,3580,1.5832,0.2513,10015,1
196,1746.0544,1337.0175,36.630662,15702,8032,3175,4.4972,0.9218,1272,4
197,3629.7811,75.5633,34.23629,14860,15511,792,1.8509,0.9261,9912,8
198,4485.5523,4825.0772,10.604141,7671,5084,4093,6.6551,0.7989,8445,1
199,4435.4333,1254.4727,11.94996,19253,8817,3748,1.6637,0.9818,2769,7
200,3899.3799,3380.1347,14.0643,9477,12318,1106,9.0512,0.8065,9752,2
201,3210.1618,3533.1523,20.556423,8777,2176,1091,2.3833,0.0102,7802,7
202,420.709,3050.041,11.71633,15022,11342,1608,2.9849,0.2878,8929,3
203,808.152,1564.5438,0.982672,4328,17580,1840,8.524,0.0306,6143,3
204,4492.772,1355.4886,43.969665,15276,2070,3398,4.6388,0.0941,13188,6
205,3032.1492,2988.3454,48.280495,7615,3359,67,0.3376,0.2188,1929,4
206,45.9952,4330.4795,17.078585,1246,18823,4780,4.9964,0.5036,6267,3
207,507.3667,4733.6692,16.92541,8244,8809,1279,0.937,0.8475,5414,6
208,3317.5122,529.538,0.35469,10356,4245,4159,9.8549,0.862,6829,2
209,25.3179,774.1515,34.012566,538,19728,814,5.9223,0.6162,2191,8
210,804.0486,4723.6818,41.272012,15925,1812,403,2.6397,0.9282,1003,4
211,2743.6735,3682.6788,7.3305,16237,16556,2003,5.6808,0.5001,11178,2
212,3459.4791,4414.9703,7.983402,16925,17010,4167,0.861,0.889,10115,1
213,3259.8098,1013.1711,39.504183,17199,5907,2926,8.0189,0.4541,6655,6
214,1121.3543,2937.9335,30.814576,1416,7984,2994,9.2607,0.2772,8095,6
215,3560.899,3505.701,2.243123,11031,4064,1087,8.757,0.9164,6068,4
216,1186.2531,3400.5626,31.127387,1653,10447,4341,3.4834,0.3879,3753,3
217,1627.0052,2040.7644,15.445955,10858,8645,2567,3.3251,0.5034,6201,1
218,3732.4596,76.9843,18.436321,18741,9611,4489,0.4474,0.3289,4138,1
219,3248.168,2914.6345,38.486594,3811,8143,772,6.5489,0.6628,3703,6
220,4246.1186,1265.5152,40.546779,16570,754,3673,5.3956,0.995,11385,9
221,3288.0679,2251.2767,20.017891,1552,11565,3249,4.6475,0.0255,5944,6
222,2841.5473,4787.9055,47.357652,13585,6852,1670,9.0855,0.8998,12027,3
223,468.3829,1995.1826,20.323195,762,5105,1557,1.762,0.0039,4439,3
224,1838.5853,4199.0096,38.591825,12512,15191,2959,0.1957,0.3642,4428,3
225,1326.0192,942.7111,24.193915,9472,13422,1152,0.8258,0.1686,11720,1
226,1219.9558,3362.3058,44.876627,12468,11203,1218,2.3114,0.7573,5557,8
227,4865.053,4885.035,45.388071,6164,11104,2232,0.4295,0.0506,8533,0
228,1965.4947,509.4745,4.370932,16066,9418,4343,5.0782,0.5535,2389,7
229,4460.2339,41.6096,46.824673,11887,8360,3945,3.2095,0.2949,11680,5
230,3155.6968,2167.9196,41.27676,19666,3686,2043,1.8868,0.1337,6993,9
231,3974.0586,463.1365,39.565557,17921,9870,706,7.5258,0.7718,6326,6
232,2513.1904,3741.9243,10.045647,6202,18367,2670,2.1241,0.2174,1701,4
233,2884.5237,4572.7442,40.25598,19549,4945,2114,6.9073,0.2237,5384,5
234,2462.5935,2170.1105,42.506652,15581,15411,2978,3.5577,0.2751,1234,5
235,976.223,1293.5656,14.457588,19155,15472,4350,5.1671,0.5868,10763,8
236,3612.2634,2172.0223,47.613009,7400,9679,4379,9.3453,0.6597,14518,9
237,1403.869,3617.2419,2.493102,19820,8634,423,0.4698,0.0176,13756,3
238,121.5896,45.2807,7.495548,16946,8463,2022,5.0526,0.2419,2299,4
239,3227.365,2947.2741,26.879103,7624,13889,3794,8.5588,0.431,8330,3
240,885.5616,3066.4623,28.789666,10328,16728,4132,5.9209,0.332,10991,0
241,4702.2935,3188.4449,32.25754,7188,16204,531,2.841,0.8842,14790,9
242,4769.6433,1210.118,0.848555,2181,3082,91,4.037,0.7877,2931,5
243,4574.3228,3570.2665,48.018343,1961,9450,3373,6.8346,0.6259,12113,4
244,1850.7998,456.9665,2.2295,5154,15658,1943,8.919,0.338,12375,3
245,77.2929,996.3597,7.153183,7036,2292,3806,0.5066,0.7007,1834,5
246,4641.5935,4387.3515,0.700824,11472,1533,1241,0.8082,0.8436,14629,4
247,2140.9265,3693.6184,28.342965,19655,4363,1759,3.318,0.5948,2140,2
248,4833.2744,68.7376,46.613351,583,18038,98,2.4045,0.7845,8400,1
249,4818.1002,1241.8888,33.297392,15515,16016,1480,2.7228,0.7491,10426,5
250,4265.0487,1072.0403,41.132891,15532,4989,4627,2.2906,0.5717,10043,3
251,1472.2515,1354.0389,0.664159,16673,6345,1833,2.0387,0.3122,9880,9
252,1925.4948,1237.8064,27.100811,7980,8431,2586,1.3932,0.7458,10396,2
253,4255.6848,312.6409,22.978203,3061,15694,3648,9.3461,0.2068,6437,7
254,1584.6169,2294.708,24.948447,13732,9107,80,1.5275,0.7795,14869,8
255,847.472,3663.67,3.610752,12295,1439,4710,2.1236,0.8045,2209,6
256,2784.0107,3033.6626,34.2218,17568,19401,2224,2.538,0.8221,7554,1
257,4680.7745,3364.3616,25.16107,14275,14820,2570,9.3368,0.4729,13797,7
258,3480.152,405.7551,38.257466,17831,9653,1773,7.5816,0.1925,5623,4
259,2850.3101,4757.454,24.264583,16349,6390,4519,7.918,0.0997,9043,9
260,485.8915,4192.4608,7.469167,1904,3080,1124,1.1371,0.7434,10396,6
261,3075.04,4025.4535,32.412883,14552,6296,3812,8.3795,0.8863,6287,4
262,4950.2693,4114.9208,8.619401,15142,13704,3475,4.1411,0.6508,7937,1
263,700.4287,4663.5532,43.619741,2378,18643,2624,2.7019,0.1442,3691,3
264,2591.6531,2721.2744,30.655851,848,8559,1404,5.7999,0.9349,11548,4
265,4386.8666,1001.4181,7.860278,14381,19376,2579,8.2396,0.9891,2610,5
266,3703.8457,3083.9219,48.116907,17624,3742,332,7.8087,0.4334,6179,4
267,3485.0817,3714.41,25.918321,9525,13882,4749,8.911,0.5948,224,9
268,3512.4234,3689.5896,3.645015,15232,16470,3609,9.2885,0.7772,14729,0
269,1797.4622,2607.2499,31.341683,11699,15415,740,2.4574,0.7364,14744,0
270,1467.9663,342.3029,12.66002,10572,14330,4607,4.2962,0.9678,3775,2
271,4046.8077,1855.571,40.184692,12315,18878,42,0.2448,0.1149,9604,8
272,4050.5689,4603.8338,40.891122,11430,16383,4981,8.8053,0.5807,14008,1
273,4335.3629,2922.2487,48.94737,2366,8324,3879,1.6303,0.6919,7917,9
274,4566.2036,2691.6643,25.093526,10605,7589,1950,8.6286,0.8901,12585,4
275,2556.7169,1344.2749,22.747898,11367,904,3461,3.3609,0.8741,8515,8
276,2507.5865,1842.2509,37.673805,5056,11649,2129,3.7445,0.978,5974,6
277,3991.4779,4476.7315,6.62362,5623,9956,4498,0.4874,0.5121,9704,7
278,3249.8232,3332.3186,27.345821,16757,2805,2155,3.3361,0.8308,2087,1
279,3509.8374,3936.9373,27.312425,7784,17611,1238,8.8948,0.4273,12793,4
280,3978.9654,2271.7326,4.473747,1950,1285,1767,0.3529,0.4223,6897,8
281,4450.0278,3151.2398,20.899262,16629,690,1842,4.1226,0.2533,13849,0
282,1689.9824,1241.9256,42.664255,10033,4783,506,0.4109,0.8182,7484,0
283,1877.921,3527.3071,42.807695,11620,4508,1842,3.7721,0.9858,7664,9
284,469.9188,2138.0124,4.961973,16509,1997,4816,1.8091,0.2563,7285,7
285,2891.4049,2212.7331,4.536135,12825,16814,1395,2.597,0.0561,5462,1
286,179.721,3246.6151,13.134848,10946,8632,257,8.7882,0.8155,2288,8
287,2327.9954,4681.4037,43.738316,1920,4508,1721,4.4169,0.6202,8879,9
288,2713.2277,320.0411,6.445216,9828,528,1072,2.8106,0.9597,10210,8
289,1432.7134,4123.7179,35.999868,9618,2997,1623,5.9344,0.2522,9661,3
290,2954.1704,1461.9226,5.058371,9733,3468,4993,1.5069,0.071,12116,1
291,152.5109,2219.6028,31.15693,531,17746,2067,2.668,0.4924,4836,2
292,186.7506,109.5764,17.803429,7850,14773,1070,5.5079,0.0855,9189,9
293,4113.0046,1505.2374,39.445719,6930,704,451,2.4515,0.2618,2535,0
294,1800.9596,2513.1612,11.684599,4350,663,898,6.8234,0.126,11005,2
295,635.3113,280.8898,31.960128,14457,9115,4837,4.9658,0.2241,5531,4
296,2611.2211,2455.4837,11.784203,11296,6257,3729,7.7427,0.1061,14204,2
297,3849.9701,4635.5539,35.683043,18186,8368,82,9.4876,0.9539,623,2
298,1079.113,526.975,43.683914,5157,13461,737,1.2465,0.2786,12017,9
299,3114.4562,3822.206,6.340177,9229,5298,4175,3.4132,0.4439,10976,5
300,426.7465,2048.3612,43.329798,11921,8574,3945,3.2635,0.8986,12586,2
301,258.4181,3275.872,29.678803,7433,15583,2208,1.5967,0.6773,1076,2
302,2656.7778,1301.1904,6.355612,12204,5379,3949,8.122,0.618,6877,8
303,2703.1802,797.4697,21.37715,6190,13501,2003,7.6228,0.7056,8496,1
304,3187.1531,802.3215,8.043099,1143,306,1692,4.8958,0.8288,13600,0
305,3630.4594,352.469,35.017424,7615,4698,1180,5.4239,0.8777,8856,9
306,4879.2606,928.2417,37.943431,14254,18775,2936,0.6895,0.6426,11139,7
307,2581.5066,3321.1003,5.289915,18014,7223,2516,5.5995,0.89,5238,2
308,1614.7891,4408.4542,25.307042,17147,7934,4949,7.9343,0.5354,3995,6
309,3975.933,4070.6303,40.731271,6906,17850,462,5.7809,0.2773,10185,1
310,1354.1685,3425.6747,46.808158,4890,11464,2902,2.7265,0.8801,11688,7
311,2194.8627,552.1682,25.675942,4840,403,117,6.7087,0.5415,2695,8
312,392.2911,1445.9443,47.513966,3958,12902,1655,3.6787,0.9061,4305,7
313,126.7635,1549.0413,26.784495,558,6941,4562,5.4942,0.0402,3199,7
314,4813.2424,1249.7922,19.709585,4622,16023,1799,4.9269,0.3975,5413,7
315,4179.9022,2575.0331,42.410172,14933,19055,660,3.8736,0.9478,8711,6
316,3479.8741,2677.7737,24.649186,840,8096,3238,7.2169,0.2497,7390,1
317,2044.7706,1784.4363,23.595178,9244,10843,2123,8.8504,0.9415,14413,7
318,866.4799,1768.9523,24.515675,9597,4545,3820,0.1516,0.9539,4434,4
319,782.1936,4142.7797,42.339265,6999,6075,3344,9.3428,0.8821,5910,5
320,1251.222,3946.4663,41.597094,10130,18733,2551,5.164,0.5637,10062,3
321,2746.1378,1538.9861,20.176059,511,6851,4891,7.0372,0.6469,8018,0
322,3572.9825,4568.9431,16.66506,11597,751,1587,8.5707,0.8696,3811,4
323,3300.9903,4764.0756,24.596452,12975,1618,4683,4.7243,0.7759,913,2
324,1399.6767,1633.7194,28.638668,1138,2531,2748,8.3662,0.6301,7443,8
325,4774.3269,1772.1312,11.916937,13701,3334,635,1.8584,0.9823,12127,3
326,3689.4872,2528.1757,39.697775,4667,7235,2883,1.6758,0.6857,4903,9
327,2771.7747,4705.6047,24.32419,8907,512,2812,6.609,0.9755,3189,1
328,3058.6076,4381.5984,16.702344,10479,14547,4454,8.7144,0.0574,9508,3
329,2098.0061,512.8488,5.341139,2655,5083,4016,8.935,0.139,13583,2
330,1238.6625,1963.6598,11.942334,991,16637,2740,6.473,0.4515,3229,2
331,1779.8698,2766.8604,47.464064,2161,8821,1885,5.3023,0.3849,572,4
